GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
47001020400,2007,204.0,"Anderson County, Tennessee",4397.44,3.04,35.16,606.98,39489.94,96098.8,30.11,85.51,6.35,4.0,0.94,2.14,0.0,1.06,0.0,726.0,23.0,22.0,3.03,3.17,0,0,1
47001020400,2008,204.0,"Anderson County, Tennessee",4397.44,3.04,35.16,606.98,39489.94,96098.8,30.11,85.51,6.35,4.0,0.94,2.14,0.0,1.06,0.0,723.0,18.0,18.0,2.49,2.49,0,0,1
47001020400,2009,204.0,"Anderson County, Tennessee",4397.44,3.04,35.16,606.98,39489.94,96098.8,30.11,85.51,6.35,4.0,0.94,2.14,0.0,1.06,0.0,720.0,,,,,0,0,0
47001020500,2000,205.0,"Anderson County, Tennessee",3612.55,28.62,42.06,461.48,29250.85,73477.92,31.1,86.36,8.7,1.8,0.52,0.56,0.03,1.83,0.19,650.0,18.0,17.0,2.62,2.77,0,0,1
47001020500,2001,205.0,"Anderson County, Tennessee",3612.55,28.62,42.06,461.48,29250.85,73477.92,31.1,86.36,8.7,1.8,0.52,0.56,0.03,1.83,0.19,661.0,28.0,24.0,3.63,4.24,0,0,1
47001020500,2002,205.0,"Anderson County, Tennessee",3612.55,28.62,42.06,461.48,29250.85,73477.92,31.1,86.36,8.7,1.8,0.52,0.56,0.03,1.83,0.19,671.0,26.0,21.0,3.13,3.87,0,0,1
47001020500,2003,205.0,"Anderson County, Tennessee",3612.55,28.62,42.06,461.48,29250.85,73477.92,31.1,86.36,8.7,1.8,0.52,0.56,0.03,1.83,0.19,682.0,23.0,17.0,2.49,3.37,0,0,1
47001020500,2004,205.0,"Anderson County, Tennessee",3612.55,28.62,42.06,461.48,29250.85,73477.92,31.1,86.36,8.7,1.8,0.52,0.56,0.03,1.83,0.19,693.0,26.0,13.0,1.88,3.75,0,0,1
47001020500,2005,205.0,"Anderson County, Tennessee",2641.5,4.51,47.3,618.44,32294.39,75237.76,27.88,92.13,0.54,0.69,0.02,0.76,0.0,4.04,1.82,704.0,17.0,14.0,1.99,2.42,0,0,1
47001020500,2006,205.0,"Anderson County, Tennessee",2641.5,4.51,47.3,618.44,32294.39,75237.76,27.88,92.13,0.54,0.69,0.02,0.76,0.0,4.04,1.82,715.0,28.0,27.0,3.78,3.92,0,0,1
47001020500,2007,205.0,"Anderson County, Tennessee",2641.5,4.51,47.3,618.44,32294.39,75237.76,27.88,92.13,0.54,0.69,0.02,0.76,0.0,4.04,1.82,726.0,24.0,22.0,3.03,3.31,0,0,1
47001020500,2008,205.0,"Anderson County, Tennessee",2641.5,4.51,47.3,618.44,32294.39,75237.76,27.88,92.13,0.54,0.69,0.02,0.76,0.0,4.04,1.82,736.0,17.0,17.0,2.31,2.31,0,0,1
47001020500,2009,205.0,"Anderson County, Tennessee",2641.5,4.51,47.3,618.44,32294.39,75237.76,27.88,92.13,0.54,0.69,0.02,0.76,0.0,4.04,1.82,747.0,,,,,0,0,0
